id,duration,codec,width,height,bitrate,framerate,i,p,b,frames,i_size,p_size,b_size,size,o_codec,o_bitrate,o_framerate,o_width,o_height,umem,utime
3fpg-LlHcks,273.816,vp8,1920,1080,1571003,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,109000,12.0,640,480,219656,10.297
3AYz-PCa1aI,391.08,h264,640,480,230847,25.0,209,9569,0,9778,9023743,2261252,0,11284995,mpeg4,56000,29.97,480,360,219480,3.372
46oD-rS6PC8,95.462,h264,640,480,809256,29.0,51,2811,0,2862,886496,8770159,0,9656655,flv,242000,15.0,320,240,221160,1.56
1G6F-Huj2hY,110.966995,h264,480,360,397112,30.0,59,3271,0,3330,529627,4978664,0,5508291,vp8,3000000,15.0,1280,720,216820,19.857
3xUU-YRicZA,131.76,vp8,640,480,104723,25.145039,37,3257,0,3294,945865,778937,0,1724802,vp8,56000,24.0,1920,1080,221152,27.61
3ojsQWU7XWE,86.486,h264,640,480,356037,29.0,46,2547,0,2593,819680,3029350,0,3849030,vp8,820000,12.0,640,480,219656,3.692
2SkA-cUEaJ0,490.6,h264,480,360,300437,25.0,256,12010,0,12266,1448177,16976151,0,18424328,h264,242000,12.0,320,240,219480,3.644
2Y-k-006Zbs,67.583336,mpeg4,176,144,51225,12.0,15,777,0,792,47585,385164,0,432749,mpeg4,539000,29.97,176,144,219480,0.932
1RGh-RmYxHY,217.518,h264,480,360,83054,29.0,112,6408,0,6520,406683,1851539,0,2258222,vp8,3000000,12.0,320,240,217080,1.776
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,mpeg4,539000,25.0,1920,1080,219480,15.305
0Yxo-eU6AjI,326.583,vp8,640,480,1055982,25.039877,102,8061,0,8163,1868804,41239444,0,43108248,mpeg4,109000,12.0,480,360,212580,2.456
4NcD-WQyXCQ,860.056,vp8,1280,720,2688309,29.968605,277,25496,0,25773,12989828,276022270,0,289012098,mpeg4,3000000,15.0,640,480,260032,5.596
0I0e-5-iR3A,906.5983,mpeg4,176,144,56108,12.0,187,10692,0,10879,597549,5760936,0,6358485,h264,242000,12.0,320,240,165668,3.22
1Y-Y-RHCxRQ,189.956,flv,320,240,231296,29.0,97,5597,0,5694,580292,4911734,0,5492026,h264,820000,29.97,176,144,218664,3.748
09oUj9EDIDo,239.14166,h264,480,360,500198,25.0,110,5868,0,5978,1406751,13545526,0,14952277,vp8,109000,15.0,480,360,99520,4.28
3xUU-YRicZA,131.76,vp8,640,480,104723,25.145039,37,3257,0,3294,945865,778937,0,1724802,h264,242000,12.0,1920,1080,656568,19.205
3N6c-uPdNas,69.933,flv,320,240,272898,15.0,37,1013,0,1050,349781,2035796,0,2385577,h264,109000,12.0,176,144,219656,1.476
3N6c-uPdNas,69.933,flv,320,240,272898,15.0,37,1013,0,1050,349781,2035796,0,2385577,mpeg4,242000,12.0,640,480,219656,2.376
28BV-NZV3C8,326.58832,h264,1920,1080,5999648,23.0,174,7656,0,7830,16603953,228322925,0,244926878,vp8,820000,24.0,1280,720,218932,31.806
2pet-NcSXvY,37.011665,h264,1280,720,2759449,29.0,21,1088,0,1109,1899633,10866846,0,12766479,mpeg4,539000,29.97,640,480,219480,6.656
236x-T7D-8g,581.233,h264,480,360,295979,30.0,310,17128,0,17438,10151572,11352574,0,21504146,flv,820000,12.0,176,144,218932,1.004
42hr-6A1jYc,311.1,mpeg4,176,144,56416,12.0,113,3620,0,3733,127552,2066350,0,2193902,mpeg4,242000,12.0,1280,720,221160,2.88
28BV-NZV3C8,326.58832,h264,1920,1080,5999648,23.0,174,7656,0,7830,16603953,228322925,0,244926878,vp8,5000000,24.0,640,480,218932,25.75
3DRy-Stwt9c,385.052,vp8,1280,720,441862,23.979221,77,9155,0,9232,16244376,5023129,0,21267505,flv,109000,12.0,1280,720,219480,1.632
4BJV-yiTcus,254.922,vp8,480,360,260667,30.062992,51,7585,0,7636,918325,7387906,0,8306231,flv,5000000,25.0,320,240,221160,1.172
09oUj9EDIDo,239.14166,h264,480,360,500198,25.0,110,5868,0,5978,1406751,13545526,0,14952277,h264,5000000,12.0,640,480,150984,24.878
0I0e-5-iR3A,906.5983,mpeg4,176,144,56108,12.0,187,10692,0,10879,597549,5760936,0,6358485,flv,820000,24.0,1920,1080,165668,2.876
1a5f-GbYEaM,157.80167,h264,1280,720,2885589,25.0,72,3873,0,3945,5611970,51306874,0,56918844,h264,5000000,29.97,640,480,216064,35.774
0ckO-lUydcc,177.33333,mpeg4,176,144,53707,12.0,37,2091,0,2128,100969,1089548,0,1190517,h264,242000,12.0,480,360,163632,5.328
0_VA-rJgmMI,750.433,vp8,1280,720,794075,13.482667,81,10031,0,10112,3852576,70635013,0,74487589,mpeg4,539000,25.0,1280,720,165700,9.041
0Yxo-eU6AjI,326.583,vp8,640,480,1055982,25.039877,102,8061,0,8163,1868804,41239444,0,43108248,h264,242000,15.0,320,240,215712,5.392
08EV-X022WI,204.938,h264,480,360,297373,16.0,111,3169,0,3280,1451634,6166260,0,7617894,mpeg4,56000,12.0,480,360,76104,2.004
3xUU-YRicZA,131.76,vp8,640,480,104723,25.145039,37,3257,0,3294,945865,778937,0,1724802,mpeg4,242000,12.0,176,144,221152,1.172
2kFF-0kB_4w,339.667,h264,640,480,257699,30.0,181,10010,0,10191,10121223,820261,0,10941484,h264,3000000,29.97,176,144,219480,1.912
AzQR-4ezzOc,1500.0083,mpeg4,176,144,56317,12.0,300,17700,0,18000,1540219,9019400,0,10559619,h264,539000,25.0,640,480,138508,9.177
4keb-__zqyQ,452.689,vp8,320,240,66680,5.7057524,42,2537,0,2579,207037,3566163,0,3773200,h264,5000000,24.0,640,480,255844,31.73
22uE-OUUBH8,43.827,flv,320,240,272273,25.0,23,1081,0,1104,137210,1354404,0,1491614,h264,5000000,15.0,480,360,218932,17.981
2pet-NcSXvY,37.011665,h264,1280,720,2759449,29.0,21,1088,0,1109,1899633,10866846,0,12766479,h264,56000,12.0,1920,1080,671648,28.626
2HTJjLLaFL0,379.32,h264,480,360,181960,25.0,195,9289,0,9484,3392479,5235193,0,8627672,vp8,109000,12.0,176,144,219464,1.376
2AfTeWTxhIg,645.84,vp8,320,240,95903,25.032558,138,16008,0,16146,1081321,6660941,0,7742262,h264,242000,25.0,176,144,219200,2.82
1Nc0-MKuExg,107.443,vp8,480,360,320011,30.093458,30,3190,0,3220,671936,3625932,0,4297868,h264,3000000,29.97,176,144,216820,4.792
09oUj9EDIDo,239.14166,h264,480,360,500198,25.0,110,5868,0,5978,1406751,13545526,0,14952277,mpeg4,56000,24.0,1280,720,94568,6.892
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,vp8,820000,25.0,640,480,219480,15.481
3xUU-YRicZA,131.76,vp8,640,480,104723,25.145039,37,3257,0,3294,945865,778937,0,1724802,mpeg4,56000,12.0,1920,1080,221152,5.828
1hEL-mcI-tM,304.927,vp8,320,240,134334,25.075659,82,7541,0,7623,833754,4286526,0,5120280,flv,109000,15.0,1280,720,216820,1.896
2NO0-ve7CKM,1140.349,vp8,1280,720,2394626,30.007017,328,33880,0,34208,20478926,320859863,0,341338789,h264,56000,12.0,176,144,219480,4.824
2SkA-cUEaJ0,490.6,h264,480,360,300437,25.0,256,12010,0,12266,1448177,16976151,0,18424328,mpeg4,109000,29.97,320,240,219480,3.016
3YNh-PI2q64,395.44,vp8,1280,720,1611942,25.027847,80,9806,0,9886,5073258,74605061,0,79678319,vp8,5000000,29.97,480,360,221160,4.008
0ckO-lUydcc,177.33333,mpeg4,176,144,53707,12.0,37,2091,0,2128,100969,1089548,0,1190517,vp8,539000,25.0,320,240,163024,1.952
2AfTeWTxhIg,645.84,vp8,320,240,95903,25.032558,138,16008,0,16146,1081321,6660941,0,7742262,mpeg4,820000,12.0,640,480,218932,3.16
08EV-X022WI,204.938,h264,480,360,297373,16.0,111,3169,0,3280,1451634,6166260,0,7617894,flv,820000,12.0,176,144,89248,0.668
4b7b-FY4JPI,203.198,flv,320,240,239336,29.0,104,5974,0,6078,853613,5225468,0,6079081,h264,3000000,12.0,480,360,221160,11.181
2tzy-vqeeLY,106.765,h264,1280,720,849586,25.0,66,2603,0,2669,4427240,6911026,0,11338266,flv,820000,25.0,176,144,219480,2.584
0I0e-5-iR3A,906.5983,mpeg4,176,144,56108,12.0,187,10692,0,10879,597549,5760936,0,6358485,h264,242000,15.0,176,144,165668,1.584
2HTJjLLaFL0,379.32,h264,480,360,181960,25.0,195,9289,0,9484,3392479,5235193,0,8627672,vp8,3000000,24.0,176,144,219480,1.54
2tzy-vqeeLY,106.765,h264,1280,720,849586,25.0,66,2603,0,2669,4427240,6911026,0,11338266,flv,820000,15.0,176,144,219480,2.5
4b7b-FY4JPI,203.198,flv,320,240,239336,29.0,104,5974,0,6078,853613,5225468,0,6079081,flv,56000,12.0,1280,720,221160,1.8
3YNh-PI2q64,395.44,vp8,1280,720,1611942,25.027847,80,9806,0,9886,5073258,74605061,0,79678319,h264,109000,25.0,480,360,221160,5.936
08EV-X022WI,204.938,h264,480,360,297373,16.0,111,3169,0,3280,1451634,6166260,0,7617894,vp8,3000000,24.0,320,240,83800,2.24
1lkF-VNDcss,458.625,h264,640,480,517364,29.0,245,13501,0,13746,5308581,24350943,0,29659524,h264,56000,24.0,1280,720,338576,16.201
3xUU-YRicZA,131.76,vp8,640,480,104723,25.145039,37,3257,0,3294,945865,778937,0,1724802,h264,56000,12.0,1280,720,320724,7.424
4NcD-WQyXCQ,860.056,vp8,1280,720,2688309,29.968605,277,25496,0,25773,12989828,276022270,0,289012098,vp8,3000000,29.97,480,360,262784,20.289
1WrA-SRsgEk,384.451,h264,640,480,646432,29.0,205,11318,0,11523,2839955,28225248,0,31065203,vp8,539000,25.0,1280,720,217568,21.369
09oUj9EDIDo,239.14166,h264,480,360,500198,25.0,110,5868,0,5978,1406751,13545526,0,14952277,flv,56000,12.0,1920,1080,86276,3.94
25TI-jx-cag,176.901,vp8,480,360,26968,25.113636,38,4382,0,4420,393395,202954,0,596349,mpeg4,5000000,12.0,1280,720,218932,2.728
04t6-jw9czg,130.35667,mpeg4,176,144,54590,12.0,27,1537,0,1564,64483,825054,0,889537,mpeg4,539000,25.0,480,360,31004,2.22
3N6c-uPdNas,69.933,flv,320,240,272898,15.0,37,1013,0,1050,349781,2035796,0,2385577,mpeg4,242000,15.0,640,480,219656,2.808
1lkF-VNDcss,458.625,h264,640,480,517364,29.0,245,13501,0,13746,5308581,24350943,0,29659524,h264,56000,25.0,480,360,216820,5.536
3o_2-igmsyo,440.967,h264,320,240,281642,30.0,236,12994,0,13230,2444863,13079542,0,15524405,flv,109000,25.0,1280,720,219656,2.492
4BJV-yiTcus,254.922,vp8,480,360,260667,30.062992,51,7585,0,7636,918325,7387906,0,8306231,flv,3000000,24.0,480,360,221160,1.216
LKds-jO1tyE,79.06333,h264,1280,720,2155452,29.0,45,2324,0,2369,1838223,19463938,0,21302161,flv,242000,15.0,176,144,54388,3.136
_2al-ZI1Wss,74.535,mpeg4,176,144,55305,12.0,15,879,0,894,23996,491276,0,515272,mpeg4,820000,15.0,1280,720,219200,4.272
236x-T7D-8g,581.233,h264,480,360,295979,30.0,310,17128,0,17438,10151572,11352574,0,21504146,vp8,3000000,15.0,176,144,218932,1.836
25TI-jx-cag,176.901,vp8,480,360,26968,25.113636,38,4382,0,4420,393395,202954,0,596349,mpeg4,539000,15.0,1280,720,218932,3.228
1WrA-SRsgEk,384.451,h264,640,480,646432,29.0,205,11318,0,11523,2839955,28225248,0,31065203,vp8,56000,29.97,320,240,217568,4.96
3fpg-LlHcks,273.816,vp8,1920,1080,1571003,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,mpeg4,539000,12.0,640,480,219656,6.072
3fpg-LlHcks,273.816,vp8,1920,1080,1571003,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,mpeg4,5000000,12.0,1280,720,219656,8.005
2TXm-QHXCzU,270.655,vp8,640,480,652967,30.062963,89,8028,0,8117,1912240,20178890,0,22091130,h264,56000,15.0,176,144,219480,2.82
2u-5-Io725E,426.945,h264,1280,720,1064703,29.0,228,12567,0,12795,11297544,45523691,0,56821235,vp8,5000000,29.97,176,144,219480,4.792
3N6c-uPdNas,69.933,flv,320,240,272898,15.0,37,1013,0,1050,349781,2035796,0,2385577,mpeg4,109000,15.0,480,360,219656,2.024
4keb-__zqyQ,452.689,vp8,320,240,66680,5.7057524,42,2537,0,2579,207037,3566163,0,3773200,vp8,109000,25.0,1280,720,248092,12.145
2NuI-Bp5brA,80.536,h264,480,360,690041,29.0,43,2374,0,2417,618732,6327913,0,6946645,flv,539000,29.97,640,480,219480,2.184
3AYz-PCa1aI,391.08,h264,640,480,230847,25.0,209,9569,0,9778,9023743,2261252,0,11284995,flv,109000,12.0,480,360,219480,1.108
3ojsQWU7XWE,86.486,h264,640,480,356037,29.0,46,2547,0,2593,819680,3029350,0,3849030,h264,242000,15.0,1920,1080,668064,27.67
3dI-kJGuWbY,292.092,h264,480,360,480125,29.0,156,8599,0,8755,2375028,15155062,0,17530090,mpeg4,109000,15.0,640,480,219480,4.12
1LXH-OibJYQ,42.2,h264,480,360,288705,25.0,23,1033,0,1056,216154,1306770,0,1522924,mpeg4,109000,29.97,480,360,216820,3.276
1KXW-XA6QkQ,255.28,flv,320,240,250276,25.0,110,6272,0,6382,611474,7374864,0,7986338,h264,56000,29.97,320,240,216820,3.724
3o_2-igmsyo,440.967,h264,320,240,281642,30.0,236,12994,0,13230,2444863,13079542,0,15524405,flv,820000,25.0,640,480,219656,1.34
08EV-X022WI,204.938,h264,480,360,297373,16.0,111,3169,0,3280,1451634,6166260,0,7617894,mpeg4,5000000,24.0,480,360,82512,2.996
1lkF-VNDcss,458.625,h264,640,480,517364,29.0,245,13501,0,13746,5308581,24350943,0,29659524,h264,109000,12.0,176,144,216820,1.868
0Axi-TRoqVA,59.883,vp8,1280,720,994960,30.38983,13,1780,0,1793,481774,6965881,0,7447655,flv,56000,12.0,640,480,158728,3.312
2zeL-QQa8Sk,77.233,h264,480,360,382461,30.0,53,2265,0,2318,182297,3510033,0,3692330,h264,56000,15.0,320,240,219480,3.372
4BJV-yiTcus,254.922,vp8,480,360,260667,30.062992,51,7585,0,7636,918325,7387906,0,8306231,h264,539000,15.0,176,144,221160,3.088
2NO0-ve7CKM,1140.349,vp8,1280,720,2394626,30.007017,328,33880,0,34208,20478926,320859863,0,341338789,h264,539000,24.0,480,360,219480,16.369
3ODf-KYiOZw,63.667,h264,640,480,972572,15.0,33,923,0,956,1259657,6480438,0,7740095,h264,56000,25.0,320,240,219656,4.472
1Nc0-MKuExg,107.443,vp8,480,360,320011,30.093458,30,3190,0,3220,671936,3625932,0,4297868,flv,5000000,24.0,1920,1080,216820,6.404
2ApZ-KZ-pEk,157.891,h264,480,360,406908,29.0,87,4646,0,4733,1776729,6254165,0,8030894,h264,56000,25.0,480,360,219464,5.164
1lkF-VNDcss,458.625,h264,640,480,517364,29.0,245,13501,0,13746,5308581,24350943,0,29659524,vp8,820000,12.0,640,480,216820,3.944
09oUj9EDIDo,239.14166,h264,480,360,500198,25.0,110,5868,0,5978,1406751,13545526,0,14952277,mpeg4,820000,29.97,176,144,97216,1.9
0XTW-dqdT4w,216.55,h264,320,240,291150,29.0,112,6379,0,6491,1789334,6091735,0,7881069,h264,539000,25.0,640,480,212340,12.833
2AfTeWTxhIg,645.84,vp8,320,240,95903,25.032558,138,16008,0,16146,1081321,6660941,0,7742262,vp8,3000000,25.0,480,360,219200,6.712
_2al-ZI1Wss,74.535,mpeg4,176,144,55305,12.0,15,879,0,894,23996,491276,0,515272,vp8,820000,29.97,480,360,219200,3.296
1WrA-SRsgEk,384.451,h264,640,480,646432,29.0,205,11318,0,11523,2839955,28225248,0,31065203,mpeg4,3000000,15.0,1280,720,217568,5.576
2AfTeWTxhIg,645.84,vp8,320,240,95903,25.032558,138,16008,0,16146,1081321,6660941,0,7742262,flv,109000,25.0,1280,720,219200,2.676
1s9d-jTKyUw,448.575,vp8,1280,720,2052426,30.002232,92,13349,0,13441,9132637,105950761,0,115083398,mpeg4,820000,12.0,480,360,217080,4.716
4b7b-FY4JPI,203.198,flv,320,240,239336,29.0,104,5974,0,6078,853613,5225468,0,6079081,flv,5000000,24.0,1280,720,221160,3.412
2Y-k-006Zbs,67.583336,mpeg4,176,144,51225,12.0,15,777,0,792,47585,385164,0,432749,vp8,820000,12.0,176,144,219480,0.832
0QZJN4yTbbU,34.168,vp8,480,360,186895,30.029411,16,1005,0,1021,238485,559745,0,798230,h264,820000,12.0,320,240,165700,3.512
3SQY-ZB8hmI,473.0,h264,320,240,164017,25.0,198,10924,704,11826,1419320,8047423,0,9697521,h264,539000,29.97,480,360,220900,15.793
3YNh-PI2q64,395.44,vp8,1280,720,1611942,25.027847,80,9806,0,9886,5073258,74605061,0,79678319,vp8,820000,12.0,640,480,221160,3.652
4Fob-eSnrb8,1768.9417,mpeg4,176,144,56152,12.0,354,20873,0,21227,1382103,11034284,0,12416387,vp8,242000,24.0,176,144,221160,1.38
3fpg-LlHcks,273.816,vp8,1920,1080,1571003,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,h264,3000000,25.0,480,360,219656,25.534
1Vq6-f1kYeM,127.221664,h264,1920,1080,3080852,23.0,70,2980,0,3050,3818903,45174992,0,48993895,vp8,109000,24.0,320,240,217348,9.117
1D3O-16kzhQ,274.541,vp8,480,360,139791,30.029198,58,8170,0,8228,802625,3994697,0,4797322,vp8,109000,15.0,640,480,216064,4.588
0Yxo-eU6AjI,326.583,vp8,640,480,1055982,25.039877,102,8061,0,8163,1868804,41239444,0,43108248,mpeg4,56000,12.0,1920,1080,212576,7.716
0OUmDeBapbQ,316.95166,mpeg4,176,144,55396,12.0,64,3739,0,3803,111850,2082902,0,2194752,mpeg4,56000,12.0,1920,1080,165700,6.22
0Yxo-eU6AjI,326.583,vp8,640,480,1055982,25.039877,102,8061,0,8163,1868804,41239444,0,43108248,vp8,242000,15.0,480,360,212772,4.808
1Y-Y-RHCxRQ,189.956,flv,320,240,231296,29.0,97,5597,0,5694,580292,4911734,0,5492026,h264,56000,29.97,176,144,218664,1.736
4Fob-eSnrb8,1768.9417,mpeg4,176,144,56152,12.0,354,20873,0,21227,1382103,11034284,0,12416387,mpeg4,109000,12.0,480,360,221160,1.388
3mWp-QQn-1M,167.39166,h264,1280,720,2207484,24.0,86,3931,0,4017,4369420,41819887,0,46189307,flv,109000,15.0,480,360,219656,3.748
0a6_--ZJXTE,290.01666,mpeg4,176,144,52783,12.0,61,3417,0,3478,119325,1794184,0,1913509,vp8,56000,29.97,640,480,130872,3.848
0_VA-rJgmMI,750.433,vp8,1280,720,794075,13.482667,81,10031,0,10112,3852576,70635013,0,74487589,h264,539000,24.0,1920,1080,677388,52.003
3fpg-LlHcks,273.816,vp8,1920,1080,1571003,25.065933,77,6766,0,6843,6190779,47579961,0,53770740,flv,242000,15.0,320,240,219656,5.14
3ojsQWU7XWE,86.486,h264,640,480,356037,29.0,46,2547,0,2593,819680,3029350,0,3849030,mpeg4,539000,24.0,480,360,219656,4.604
3ojsQWU7XWE,86.486,h264,640,480,356037,29.0,46,2547,0,2593,819680,3029350,0,3849030,h264,539000,29.97,1280,720,332172,28.886
4Fob-eSnrb8,1768.9417,mpeg4,176,144,56152,12.0,354,20873,0,21227,1382103,11034284,0,12416387,h264,5000000,24.0,640,480,246124,26.79
15fr-zSdCqg,39.055,h264,1920,1080,5992818,30.0,26,1144,0,1170,839251,28416939,0,29256190,h264,539000,24.0,1920,1080,675424,81.781
1Vq6-f1kYeM,127.221664,h264,1920,1080,3080852,23.0,70,2980,0,3050,3818903,45174992,0,48993895,flv,820000,29.97,640,480,217544,7.936
1lkF-VNDcss,458.625,h264,640,480,517364,29.0,245,13501,0,13746,5308581,24350943,0,29659524,h264,5000000,12.0,320,240,216820,3.316
4BJV-yiTcus,254.922,vp8,480,360,260667,30.062992,51,7585,0,7636,918325,7387906,0,8306231,mpeg4,109000,24.0,480,360,221160,3.396
0XTW-dqdT4w,216.55,h264,320,240,291150,29.0,112,6379,0,6491,1789334,6091735,0,7881069,flv,820000,12.0,320,240,207160,0.676
3dI-kJGuWbY,292.092,h264,480,360,480125,29.0,156,8599,0,8755,2375028,15155062,0,17530090,flv,5000000,25.0,1280,720,219480,4.532
